Lemma_automatisch,Lemma_awb,Flexion,Komplexität,Mhd. Lemma,mhd_Flexion,Nhd. ÜS,Token,Kasus_token,Numerus_token,Texttyp,Edition,Handschrifteninfo_in_Klammern,Fragen
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,636,71",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,640,31",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,650,9",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,679,46",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,682,50",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,742,45",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 2,743,30",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 4,250,2",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 4,311,16",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"Gl 5,14,33",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 23,13",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 33,95",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 64,4",Hs. B,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 67,30",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 71,84",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 105,8",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 107,36",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 115,16",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 125,31",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 128,68",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 129,82",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 194,11",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 199,20",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 200,12",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 201,19",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 203,30",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 212,26",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 218,11",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 235,27",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 237,10",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 251,12",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 317,35",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 343,26",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"S 2,1",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 4,7",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 7,16",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 10,18",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 11,12",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 12,22",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 14,11",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 15,13",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 17,2",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 18,8",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 20,13",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 21,11",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 23,18",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 24,10",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 27,4",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 28,12",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 30,18",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 31,9",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 36,13",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 37,12",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 38,9",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 39,2",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 40,4",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 42,16",,
after,after,präp. u. adv.,simplex,,,,after,,,Glosse,"I 43,21",,
after,after,st. n.,simplex,,,,after,nom,sg,Glosse,"Nk 405,32",,
